                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1388890 |    1392678 |    1392767 |    1391658
  Cycles                             |   24201505 |   24201505 |   24201505 |   24201505
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9098310 |    9098310 |    9098310 |    9098310
  Idle time (ns)                     |    7756460 |    7750788 |    7751918 |    7752916
  Idle time (%)                      |      85.3% |      85.2% |      85.2% |      85.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     109268 |     109008 |     109018 |     108892
  num incorrect                      |        157 |        146 |        149 |        121
  misprediction rate                 |      0.14% |      0.13% |      0.14% |      0.11%
  mpki                               |       0.11 |       0.10 |       0.11 |       0.09
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     217632 |     219448 |     219452 |     219376
    num cache misses                 |         65 |         64 |         64 |         64
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     946846 |     948805 |     948836 |     948433
    num cache misses                 |       1834 |       2026 |       2044 |       1901
    miss rate                        |      0.19% |      0.21% |      0.22% |      0.20%
    mpki                             |       1.32 |       1.45 |       1.47 |       1.37
  Cache L2                           |            |            |            |           
    num cache accesses               |       1998 |       2189 |       2197 |       2038
    num cache misses                 |         66 |         87 |         33 |         29
    miss rate                        |      3.30% |      3.97% |      1.50% |      1.42%
    mpki                             |       0.05 |       0.06 |       0.02 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         71 |         93 |         37 |         33
    num cache misses                 |         66 |         87 |         33 |         29
    miss rate                        |     92.96% |     93.55% |     89.19% |     87.88%
    mpki                             |       0.05 |       0.06 |       0.02 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |        197 |          0 |          0 |          0
  average dram access latency (ns)   |     161.03 |        inf |        inf |        inf
  average dram queueing delay        |     107.60 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         24 |         32 |         12 |         11
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
