                                     | Core 0     | Core 1    
  Instructions                       |     209151 |     210560
  Cycles                             |    1297274 |    1297274
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     487697 |     487697
  Idle time (ns)                     |     366512 |     366711
  Idle time (%)                      |      75.2% |      75.2%
Branch predictor stats               |            |           
  num correct                        |      18164 |      18457
  num incorrect                      |        449 |        409
  misprediction rate                 |      2.41% |      2.17%
  mpki                               |       2.15 |       1.94
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      35912 |      36014
    num cache misses                 |         65 |         66
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.31 |       0.31
  Cache L1-D                         |            |           
    num cache accesses               |     132997 |     133548
    num cache misses                 |       1580 |       1595
    miss rate                        |      1.19% |      1.19%
    mpki                             |       7.55 |       7.58
  Cache L2                           |            |           
    num cache accesses               |       2053 |       2066
    num cache misses                 |        101 |         82
    miss rate                        |      4.92% |      3.97%
    mpki                             |       0.48 |       0.39
  Cache L3                           |            |           
    num cache accesses               |        105 |         89
    num cache misses                 |        101 |         82
    miss rate                        |     96.19% |     92.13%
    mpki                             |       0.48 |       0.39
DRAM summary                         |            |           
  num dram accesses                  |        162 |          0
  average dram access latency (ns)   |     149.72 |        inf
  average dram queueing delay        |      96.30 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         39 |         30
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
