                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     220418 |     218379 |     219703 |     220698 |     218860 |     219264 |     219769 |     219141
  Cycles                             |    5099310 |    5099310 |    5099310 |    5099310 |    5099310 |    5099310 |    5099310 |    5099310
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    1917034 |    1917034 |    1917034 |    1917034 |    1917034 |    1917034 |    1917034 |    1917034
  Idle time (ns)                     |    1743314 |    1747702 |    1744579 |    1741027 |    1744199 |    1742033 |    1745497 |    1744776
  Idle time (%)                      |      90.9% |      91.2% |      91.0% |      90.8% |      91.0% |      90.9% |      91.1% |      91.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      18787 |      18658 |      18755 |      18868 |      18681 |      18779 |      18805 |      18737
  num incorrect                      |        591 |        571 |        570 |        618 |        591 |        570 |        590 |        566
  misprediction rate                 |      3.05% |      2.97% |      2.95% |      3.17% |      3.07% |      2.95% |      3.04% |      2.93%
  mpki                               |       2.68 |       2.61 |       2.59 |       2.80 |       2.70 |       2.60 |       2.68 |       2.58
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      38353 |      37914 |      38200 |      38296 |      37982 |      37985 |      38085 |      38042
    num cache misses                 |         64 |         66 |         66 |         66 |         66 |         66 |         66 |         67
    miss rate                        |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.18%
    mpki                             |       0.29 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     137701 |     136832 |     137397 |     137772 |     137007 |     137163 |     137385 |     137143
    num cache misses                 |       2903 |       2687 |       2789 |       2818 |       2709 |       2744 |       2783 |       2760
    miss rate                        |      2.11% |      1.96% |      2.03% |      2.05% |      1.98% |      2.00% |      2.03% |      2.01%
    mpki                             |      13.17 |      12.30 |      12.69 |      12.77 |      12.38 |      12.51 |      12.66 |      12.59
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3396 |       3136 |       3317 |       3318 |       3170 |       3193 |       3287 |       3242
    num cache misses                 |       1500 |       1391 |       1444 |       1471 |       1393 |       1489 |       1450 |       1480
    miss rate                        |     44.17% |     44.36% |     43.53% |     44.33% |     43.94% |     46.63% |     44.11% |     45.65%
    mpki                             |       6.81 |       6.37 |       6.57 |       6.67 |       6.36 |       6.79 |       6.60 |       6.75
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1784 |       1630 |       1728 |       1748 |       1647 |       1752 |       1726 |       1754
    num cache misses                 |         23 |         56 |         33 |         36 |         34 |         18 |         19 |         54
    miss rate                        |      1.29% |      3.44% |      1.91% |      2.06% |      2.06% |      1.03% |      1.10% |      3.08%
    mpki                             |       0.10 |       0.26 |       0.15 |       0.16 |       0.16 |       0.08 |       0.09 |       0.25
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        271 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     217.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     164.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |         26 |         11 |         15 |         14 |          6 |          6 |         25
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
