                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      93505 |      94149 |      95144 |      92628 |      93357 |      92966 |      94316 |      93548 |      92662 |      93642 |      94550 |      92850 |      93341 |      94855 |      94260 |      94081
  Cycles                             |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015 |    4060015
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322 |    1526322
  Idle time (ns)                     |    1441991 |    1437534 |    1435513 |    1445011 |    1441757 |    1440940 |    1434581 |    1444275 |    1451464 |    1439990 |    1439044 |    1449493 |    1442695 |    1434714 |    1438653 |    1441858
  Idle time (%)                      |      94.5% |      94.2% |      94.1% |      94.7% |      94.5% |      94.4% |      94.0% |      94.6% |      95.1% |      94.3% |      94.3% |      95.0% |      94.5% |      94.0% |      94.3% |      94.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       9340 |       9432 |       9591 |       9211 |       9440 |       9290 |       9453 |       9294 |       9352 |       9329 |       9446 |       9409 |       9368 |       9430 |       9445 |       9425
  num incorrect                      |        409 |        442 |        439 |        420 |        419 |        412 |        438 |        422 |        403 |        432 |        439 |        401 |        441 |        472 |        435 |        424
  misprediction rate                 |      4.20% |      4.48% |      4.38% |      4.36% |      4.25% |      4.25% |      4.43% |      4.34% |      4.13% |      4.43% |      4.44% |      4.09% |      4.50% |      4.77% |      4.40% |      4.31%
  mpki                               |       4.37 |       4.69 |       4.61 |       4.53 |       4.49 |       4.43 |       4.64 |       4.51 |       4.35 |       4.61 |       4.64 |       4.32 |       4.72 |       4.98 |       4.61 |       4.51
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17996 |      18039 |      18160 |      17896 |      17790 |      17880 |      18075 |      18072 |      17753 |      18010 |      18168 |      17707 |      17885 |      18225 |      18065 |      18065
    num cache misses                 |         21 |         65 |         66 |         21 |         66 |         21 |         66 |         21 |         65 |         21 |         64 |         65 |         65 |         65 |         65 |         65
    miss rate                        |      0.12% |      0.36% |      0.36% |      0.12% |      0.37% |      0.12% |      0.37% |      0.12% |      0.37% |      0.12% |      0.35% |      0.37% |      0.36% |      0.36% |      0.36% |      0.36%
    mpki                             |       0.22 |       0.69 |       0.69 |       0.23 |       0.71 |       0.23 |       0.70 |       0.22 |       0.70 |       0.22 |       0.68 |       0.70 |       0.70 |       0.69 |       0.69 |       0.69
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      52421 |      52663 |      53053 |      52061 |      52302 |      52177 |      52742 |      52457 |      52053 |      52463 |      52849 |      52097 |      52332 |      52958 |      52709 |      52646
    num cache misses                 |       2574 |       2591 |       2574 |       2388 |       2332 |       2403 |       2649 |       2359 |       2142 |       2615 |       2560 |       2307 |       2305 |       2560 |       2554 |       2504
