                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6180055 |    5773933 |    7389009 |    7503326 |    5308903 |    6308300 |    5633351 |    7097721 |    6856904 |    6307253 |    6666983 |    6662510 |    6675773 |    6395408 |    5164967 |    5071605
  Cycles                             |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426 |   59359426
  IPC                                |       0.10 |       0.10 |       0.12 |       0.13 |       0.09 |       0.11 |       0.09 |       0.12 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.09 |       0.09
  Time (ns)                          |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574 |   22315574
  Idle time (ns)                     |    2264402 |    4248080 |     430152 |     410511 |    4960503 |    1201711 |    3802932 |      82346 |    1598165 |    3555996 |    2850098 |    2879386 |    1044640 |    1435542 |    5606975 |    6283613
  Idle time (%)                      |      10.1% |      19.0% |       1.9% |       1.8% |      22.2% |       5.4% |      17.0% |       0.4% |       7.2% |      15.9% |      12.8% |      12.9% |       4.7% |       6.4% |      25.1% |      28.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1068349 |     987111 |    1310133 |    1332989 |     894110 |    1093989 |     959002 |    1251882 |    1203713 |    1093780 |    1165732 |    1164837 |    1167479 |    1111401 |     865333 |     846663
  num incorrect                      |         82 |         90 |         84 |         92 |         86 |         87 |         84 |         77 |         84 |         87 |         80 |         81 |         91 |         95 |         78 |         74
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
