                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   24246814 |   26221320 |   21302998 |   26128570
  Cycles                             |   13628247 |   13628247 |   13628247 |   13628247
  IPC                                |       1.78 |       1.92 |       1.56 |       1.92
  Time (ns)                          |    5123401 |    5123401 |    5123401 |    5123401
  Idle time (ns)                     |     376100 |      78872 |     819363 |      92950
  Idle time (%)                      |       7.3% |       1.5% |      16.0% |       1.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    4681676 |    5076556 |    4092927 |    5058020
  num incorrect                      |        106 |        126 |         92 |        114
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211011 |     211011 |     211013 |     211011
    num cache misses                 |         12 |         12 |         11 |         11
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   14670348 |   15855049 |   12904057 |   15799401
    num cache misses                 |    4617487 |    3702739 |    3116677 |    3666806
    miss rate                        |     31.47% |     23.35% |     24.15% |     23.21%
    mpki                             |     190.44 |     141.21 |     146.30 |     140.34
  Cache L2                           |            |            |            |           
    num cache accesses               |    4617653 |    3702808 |    3116724 |    3666849
    num cache misses                 |          6 |          5 |         18 |          7
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          8 |          6 |         19 |          8
    num cache misses                 |          6 |          5 |         18 |          7
    miss rate                        |     75.00% |     83.33% |     94.74% |     87.50%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         33 |          0 |          0 |          0
  average dram access latency (ns)   |      95.12 |        inf |        inf |        inf
  average dram queueing delay        |      41.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          1 |          4 |          1
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
