                                     | Core 0     | Core 1    
  Instructions                       |     294494 |     291226
  Cycles                             |     487894 |     487894
  IPC                                |       0.60 |       0.60
  Time (ns)                          |     183419 |     183419
  Idle time (ns)                     |      77297 |      77889
  Idle time (%)                      |      42.1% |      42.5%
Branch predictor stats               |            |           
  num correct                        |      35121 |      34471
  num incorrect                      |        195 |        190
  misprediction rate                 |      0.55% |      0.55%
  mpki                               |       0.66 |       0.65
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31012 |      31017
    num cache misses                 |         12 |         16
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.04 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     190955 |     188993
    num cache misses                 |       2396 |       2488
    miss rate                        |      1.25% |      1.32%
    mpki                             |       8.14 |       8.54
  Cache L2                           |            |           
    num cache accesses               |       2764 |       2767
    num cache misses                 |         21 |         11
    miss rate                        |      0.76% |      0.40%
    mpki                             |       0.07 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         23 |         13
    num cache misses                 |         21 |         11
    miss rate                        |     91.30% |     84.62%
    mpki                             |       0.07 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      97.48 |        inf
  average dram queueing delay        |      44.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
