                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     162049 |     169714 |     183541 |     196388 |     156944 |     165307 |     130928 |     149748
  Cycles                             |     993583 |     993583 |     993583 |     993583 |     993583 |     993583 |     993583 |     993583
  IPC                                |       0.16 |       0.17 |       0.18 |       0.20 |       0.16 |       0.17 |       0.13 |       0.15
  Time (ns)                          |     373528 |     373528 |     373528 |     373528 |     373528 |     373528 |     373528 |     373528
  Idle time (ns)                     |      80980 |      97393 |     100890 |     111297 |      85643 |      88256 |     186472 |     162024
  Idle time (%)                      |      21.7% |      26.1% |      27.0% |      29.8% |      22.9% |      23.6% |      49.9% |      43.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      23179 |      24711 |      27485 |      30036 |      22164 |      23827 |      16957 |      20717
  num incorrect                      |         48 |         52 |         43 |         61 |         44 |         49 |         48 |         52
  misprediction rate                 |      0.21% |      0.21% |      0.16% |      0.20% |      0.20% |      0.21% |      0.28% |      0.25%
  mpki                               |       0.30 |       0.31 |       0.23 |       0.31 |       0.28 |       0.30 |       0.37 |       0.35
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13012 |      13011 |      13011 |      13011 |      13011 |      13011 |      13011 |      13011
    num cache misses                 |         12 |         11 |         11 |         11 |         11 |         11 |         11 |         11
    miss rate                        |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.06 |       0.07 |       0.07 |       0.08 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     100688 |     105287 |     113582 |     121290 |      97623 |     102627 |      82014 |      93306
    num cache misses                 |      17663 |      14346 |      15381 |      15541 |      13054 |      13572 |       9683 |      11122
    miss rate                        |     17.54% |     13.63% |     13.54% |     12.81% |     13.37% |     13.22% |     11.81% |     11.92%
    mpki                             |     109.00 |      84.53 |      83.80 |      79.13 |      83.18 |      82.10 |      73.96 |      74.27
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      17782 |      14423 |      15459 |      15610 |      13113 |      13649 |       9728 |      11193
    num cache misses                 |       8451 |       6350 |       6262 |       6240 |       8213 |       8117 |       5177 |       5925
    miss rate                        |     47.53% |     44.03% |     40.51% |     39.97% |     62.63% |     59.47% |     53.22% |     52.93%
    mpki                             |      52.15 |      37.42 |      34.12 |      31.77 |      52.33 |      49.10 |      39.54 |      39.57
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8589 |       6400 |       6309 |       6286 |       8261 |       8164 |       5198 |       5963
    num cache misses                 |         15 |         10 |         10 |          8 |         13 |         12 |         12 |          6
    miss rate                        |      0.17% |      0.16% |      0.16% |      0.13% |      0.16% |      0.15% |      0.23% |      0.10%
    mpki                             |       0.09 |       0.06 |       0.05 |       0.04 |       0.08 |       0.07 |       0.09 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      87.57 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      34.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          2 |          3 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
