                                     | Core 0     | Core 1    
  Instructions                       |     531863 |     548223
  Cycles                             |     616911 |     616911
  IPC                                |       0.86 |       0.89
  Time (ns)                          |     231922 |     231922
  Idle time (ns)                     |      80311 |      77366
  Idle time (%)                      |      34.6% |      33.4%
Branch predictor stats               |            |           
  num correct                        |     100398 |     104484
  num incorrect                      |         87 |         88
  misprediction rate                 |      0.09% |      0.08%
  mpki                               |       0.16 |       0.16
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30011 |      30016
    num cache misses                 |         11 |         12
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     298986 |     307168
    num cache misses                 |       1864 |       1729
    miss rate                        |      0.62% |      0.56%
    mpki                             |       3.50 |       3.15
  Cache L2                           |            |           
    num cache accesses               |       2714 |       2714
    num cache misses                 |         19 |          7
    miss rate                        |      0.70% |      0.26%
    mpki                             |       0.04 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         21 |          9
    num cache misses                 |         19 |          7
    miss rate                        |     90.48% |     77.78%
    mpki                             |       0.04 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      92.54 |        inf
  average dram queueing delay        |      39.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
