                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3302746 |    3597492 |    2773770 |    3627587 |    2639754 |    3132373 |    2630381 |    3630524
  Cycles                             |    2442364 |    2442364 |    2442364 |    2442364 |    2442364 |    2442364 |    2442364 |    2442364
  IPC                                |       1.35 |       1.47 |       1.14 |       1.49 |       1.08 |       1.28 |       1.08 |       1.49
  Time (ns)                          |     918182 |     918182 |     918182 |     918182 |     918182 |     918182 |     918182 |     918182
  Idle time (ns)                     |     117704 |      81039 |     269617 |      85908 |     280455 |     187097 |     296451 |      88185
  Idle time (%)                      |      12.8% |       8.8% |      29.4% |       9.4% |      30.5% |      20.4% |      32.3% |       9.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     793056 |     866747 |     660828 |     874251 |     627299 |     750482 |     624961 |     875004
  num incorrect                      |        148 |        141 |        133 |        163 |        156 |        128 |        151 |        145
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.05 |       0.04 |       0.06 |       0.04 |       0.06 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30011 |      30012 |      30008 |      30009 |      30011 |      30007 |      30013 |      30009
    num cache misses                 |         11 |         11 |         10 |         12 |         10 |         10 |         12 |         10
    miss rate                        |      0.04% |      0.04% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1684427 |    1831799 |    1419938 |    1846848 |    1352930 |    1599241 |    1348244 |    1848315
    num cache misses                 |       8795 |       8697 |       6114 |       8497 |       5781 |       6380 |       5499 |       6921
    miss rate                        |      0.52% |      0.47% |      0.43% |      0.46% |      0.43% |      0.40% |      0.41% |      0.37%
    mpki                             |       2.66 |       2.42 |       2.20 |       2.34 |       2.19 |       2.04 |       2.09 |       1.91
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10130 |       9659 |       7377 |       9500 |       7112 |       7742 |       6757 |       8273
    num cache misses                 |       3012 |       2107 |       1316 |       1485 |       1590 |       1626 |       1237 |       1603
    miss rate                        |     29.73% |     21.81% |     17.84% |     15.63% |     22.36% |     21.00% |     18.31% |     19.38%
    mpki                             |       0.91 |       0.59 |       0.47 |       0.41 |       0.60 |       0.52 |       0.47 |       0.44
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3586 |       2654 |       1861 |       2160 |       2621 |       2697 |       2131 |       2813
    num cache misses                 |         10 |          6 |          4 |         13 |          4 |          4 |         11 |          8
    miss rate                        |      0.28% |      0.23% |      0.21% |      0.60% |      0.15% |      0.15% |      0.52% |      0.28%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      99.13 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      45.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          2 |          4 |          2 |          3 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
