                                     | Core 0    
  Instructions                       |      68958
  Cycles                             |     234749
  IPC                                |       0.29
  Time (ns)                          |      88252
  Idle time (ns)                     |      76630
  Idle time (%)                      |      86.8%
Branch predictor stats               |           
  num correct                        |       5003
  num incorrect                      |          7
  misprediction rate                 |      0.14%
  mpki                               |       0.10
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      12012
    num cache misses                 |         11
    miss rate                        |      0.09%
    mpki                             |       0.16
  Cache L1-D                         |           
    num cache accesses               |      45035
    num cache misses                 |         10
    miss rate                        |      0.02%
    mpki                             |       0.15
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.30
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.30
DRAM summary                         |           
  num dram accesses                  |         20
  average dram access latency (ns)   |     118.09
  average dram queueing delay        |      64.66
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
