                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     519619 |     512262 |     499630 |     576065 |     527570 |     520429 |     509450 |     309257 |     359651 |     593373 |     459608 |     566712 |     367032 |     502667 |     477558 |     494039
  Cycles                             |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954 |    1286954
  IPC                                |       0.40 |       0.40 |       0.39 |       0.45 |       0.41 |       0.40 |       0.40 |       0.24 |       0.28 |       0.46 |       0.36 |       0.44 |       0.29 |       0.39 |       0.37 |       0.38
  Time (ns)                          |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817 |     483817
  Idle time (ns)                     |     146325 |     136821 |     154689 |      87213 |      96626 |      89284 |     102182 |     279166 |     260610 |      92555 |     204914 |      84262 |     240535 |     115695 |     154318 |     127524
  Idle time (%)                      |      30.2% |      28.3% |      32.0% |      18.0% |      20.0% |      18.5% |      21.1% |      57.7% |      53.9% |      19.1% |      42.4% |      17.4% |      49.7% |      23.9% |      31.9% |      26.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     117591 |     115738 |     112578 |     131689 |     119566 |     117782 |     115036 |      65002 |      77620 |     136021 |     102582 |     129353 |      79430 |     113329 |     107093 |     111194
  num incorrect                      |         81 |         85 |         91 |         85 |         85 |         87 |         84 |         62 |         57 |         85 |         74 |         85 |         88 |         88 |         61 |         68
  misprediction rate                 |      0.07% |      0.07% |      0.08% |      0.06% |      0.07% |      0.07% |      0.07% |      0.10% |      0.07% |      0.06% |      0.07% |      0.07% |      0.11% |      0.08% |      0.06% |      0.06%
  mpki                               |       0.16 |       0.17 |       0.18 |       0.15 |       0.16 |       0.17 |       0.16 |       0.20 |       0.16 |       0.14 |       0.16 |       0.15 |       0.24 |       0.18 |       0.13 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12010 |      12013 |      12019 |      12027 |      12019 |      12015 |      12019 |      12019 |      12019 |      12019 |      12013 |      12020 |      12019 |      12019 |      12019 |      12013
    num cache misses                 |         10 |         14 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15 |         15 |         15 |         12
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.10% |      0.12% |      0.12% |      0.12% |      0.12% |      0.10%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.05 |       0.04 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     270365 |     266683 |     260371 |     298588 |     274340 |     270771 |     265281 |     165158 |     190381 |     307242 |     240331 |     293911 |     194071 |     261863 |     249335 |     257546
    num cache misses                 |       8220 |       8240 |       7541 |       9224 |       8733 |       8885 |       8384 |       4550 |       5210 |       8910 |       6194 |       8879 |       5409 |       7746 |       7146 |       7676
    miss rate                        |      3.04% |      3.09% |      2.90% |      3.09% |      3.18% |      3.28% |      3.16% |      2.75% |      2.74% |      2.90% |      2.58% |      3.02% |      2.79% |      2.96% |      2.87% |      2.98%
    mpki                             |      15.82 |      16.09 |      15.09 |      16.01 |      16.55 |      17.07 |      16.46 |      14.71 |      14.49 |      15.02 |      13.48 |      15.67 |      14.74 |      15.41 |      14.96 |      15.54
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9806 |       9711 |       9113 |      10455 |      10129 |      10197 |       9815 |       6114 |       6986 |      10284 |       7781 |      10072 |       6835 |       9203 |       8736 |       9092
    num cache misses                 |       6309 |       6384 |       5837 |       7287 |       6881 |       6952 |       6659 |       3724 |       4075 |       7003 |       4923 |       7031 |       4296 |       6182 |       5732 |       6200
    miss rate                        |     64.34% |     65.74% |     64.05% |     69.70% |     67.93% |     68.18% |     67.85% |     60.91% |     58.33% |     68.10% |     63.27% |     69.81% |     62.85% |     67.17% |     65.61% |     68.19%
    mpki                             |      12.14 |      12.46 |      11.68 |      12.65 |      13.04 |      13.36 |      13.07 |      12.04 |      11.33 |      11.80 |      10.71 |      12.41 |      11.70 |      12.30 |      12.00 |      12.55
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7626 |       7647 |       7139 |       8364 |       7995 |       8078 |       7860 |       5096 |       5587 |       8100 |       6330 |       7990 |       5571 |       7455 |       7102 |       7425
    num cache misses                 |       5482 |       5636 |       5121 |       6357 |       5950 |       6040 |       5775 |       3305 |       3392 |       6244 |       4240 |       6257 |       3668 |       5471 |       5070 |       5537
    miss rate                        |     71.89% |     73.70% |     71.73% |     76.00% |     74.42% |     74.77% |     73.47% |     64.85% |     60.71% |     77.09% |     66.98% |     78.31% |     65.84% |     73.39% |     71.39% |     74.57%
    mpki                             |      10.55 |      11.00 |      10.25 |      11.04 |      11.28 |      11.61 |      11.34 |      10.69 |       9.43 |      10.52 |       9.23 |      11.04 |       9.99 |      10.88 |      10.62 |      11.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         99 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      91.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      38.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
