                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     156668 |     184023 |     152199 |     183084
  Cycles                             |     309631 |     309631 |     309631 |     309631
  IPC                                |       0.51 |       0.59 |       0.49 |       0.59
  Time (ns)                          |     116403 |     116403 |     116403 |     116403
  Idle time (ns)                     |      86518 |      80865 |      87814 |      80797
  Idle time (%)                      |      74.3% |      69.5% |      75.4% |      69.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      26837 |      33656 |      25731 |      33407
  num incorrect                      |         95 |        113 |         81 |        116
  misprediction rate                 |      0.35% |      0.33% |      0.31% |      0.35%
  mpki                               |       0.61 |       0.61 |       0.53 |       0.63
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12010 |      12018 |      12019 |      12026
    num cache misses                 |         10 |         14 |         15 |         16
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.06 |       0.08 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      88889 |     102565 |      86655 |     102096
    num cache misses                 |       4306 |       4729 |       3684 |       4319
    miss rate                        |      4.84% |      4.61% |      4.25% |      4.23%
    mpki                             |      27.48 |      25.70 |      24.21 |      23.59
  Cache L2                           |            |            |            |           
    num cache accesses               |       5890 |       5669 |       4816 |       5088
    num cache misses                 |          6 |         10 |         14 |         11
    miss rate                        |      0.10% |      0.18% |      0.29% |      0.22%
    mpki                             |       0.04 |       0.05 |       0.09 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |          8 |         12 |         16 |         13
    num cache misses                 |          6 |         10 |         14 |         11
    miss rate                        |     75.00% |     83.33% |     87.50% |     84.62%
    mpki                             |       0.04 |       0.05 |       0.09 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |      94.48 |        inf |        inf |        inf
  average dram queueing delay        |      41.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
