                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   90687384 |   96888633 |   98124991 |   97051271 |   97268118 |   98092634 |   97312545 |   96909732 |   94690245 |   94707897 |   93464755 |   91223705 |   87917840 |   98896675 |   95041204 |   70574333
  Cycles                             |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272 |   53675272
  IPC                                |       1.69 |       1.81 |       1.83 |       1.81 |       1.81 |       1.83 |       1.81 |       1.81 |       1.76 |       1.76 |       1.74 |       1.70 |       1.64 |       1.84 |       1.77 |       1.31
  Time (ns)                          |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674 |   20178674
  Idle time (ns)                     |    1677912 |     484301 |     232767 |     453469 |     398783 |     231388 |     387543 |     468058 |     908645 |     903595 |    1140533 |    1578372 |    2188495 |      82336 |     828109 |    5529168
  Idle time (%)                      |       8.3% |       2.4% |       1.2% |       2.2% |       2.0% |       1.1% |       1.9% |       2.3% |       4.5% |       4.5% |       5.7% |       7.8% |      10.8% |       0.4% |       4.1% |      27.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22436323 |   23986602 |   24295693 |   24027253 |   24081508 |   24287599 |   24092568 |   23991903 |   23437036 |   23441433 |   23130612 |   22570390 |   21743941 |   24488627 |   23524767 |   17408105
  num incorrect                      |        281 |        310 |        308 |        324 |        276 |        314 |        324 |        286 |        280 |        296 |        326 |        294 |        261 |        291 |        284 |        240
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211039 |     211053 |     211055 |     211039 |     211050 |     211049 |     211045 |     211045 |     211051 |     211051 |     211067 |     211043 |     211074 |     211064 |     211057 |     211031
    num cache misses                 |         12 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   45601239 |   48701863 |   49320042 |   48783186 |   48891606 |   49303865 |   48913821 |   48712415 |   47602670 |   47611496 |   46989920 |   45869402 |   44216463 |   49705881 |   47778147 |   35544718
    num cache misses                 |      22422 |      23755 |      24299 |      23893 |      23919 |      24255 |      23933 |      23815 |      23168 |      23116 |      22904 |      22131 |      21421 |      23980 |      23037 |      17337
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.24 |       0.24 |       0.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24297 |      25557 |      26112 |      25675 |      25679 |      26038 |      25681 |      25539 |      25088 |      24944 |      24724 |      23949 |      23222 |      25553 |      24818 |      19095
    num cache misses                 |       9655 |      10181 |      10527 |      10265 |      10408 |      10619 |      10263 |      10282 |       9782 |       9768 |       9594 |       9283 |       9262 |      10912 |      10022 |       7293
    miss rate                        |     39.74% |     39.84% |     40.31% |     39.98% |     40.53% |     40.78% |     39.96% |     40.26% |     38.99% |     39.16% |     38.80% |     38.76% |     39.88% |     42.70% |     40.38% |     38.19%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11373 |      11841 |      12215 |      11926 |      12061 |      12303 |      11923 |      11910 |      11560 |      11464 |      11267 |      10956 |      10955 |      12425 |      11719 |       8958
    num cache misses                 |       7976 |       8621 |       8854 |       8676 |       8624 |       8886 |       8670 |       8639 |       8095 |       8203 |       8152 |       7858 |       7462 |       8842 |       8027 |       5955
    miss rate                        |     70.13% |     72.81% |     72.48% |     72.75% |     71.50% |     72.23% |     72.72% |     72.54% |     70.03% |     71.55% |     72.35% |     71.72% |     68.12% |     71.16% |     68.50% |     66.48%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
