                                     | Core 0     | Core 1    
  Instructions                       |     550217 |     431565
  Cycles                             |     623755 |     623755
  IPC                                |       0.88 |       0.69
  Time (ns)                          |     234495 |     234495
  Idle time (ns)                     |      78994 |     101582
  Idle time (%)                      |      33.7% |      43.3%
Branch predictor stats               |            |           
  num correct                        |     104735 |      75072
  num incorrect                      |         87 |         88
  misprediction rate                 |      0.08% |      0.12%
  mpki                               |       0.16 |       0.20
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31016 |      31017
    num cache misses                 |         11 |         12
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.02 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     307661 |     248335
    num cache misses                 |       1466 |       1257
    miss rate                        |      0.48% |      0.51%
    mpki                             |       2.66 |       2.91
  Cache L2                           |            |           
    num cache accesses               |       2040 |       2038
    num cache misses                 |         21 |          7
    miss rate                        |      1.03% |      0.34%
    mpki                             |       0.04 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |          9
    num cache misses                 |         21 |          7
    miss rate                        |     91.30% |     77.78%
    mpki                             |       0.04 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         26 |          0
  average dram access latency (ns)   |     131.18 |        inf
  average dram queueing delay        |      77.75 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
