                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1189610 |    1183745 |    1304572 |    1071368
  Cycles                             |    1012116 |    1012116 |    1012116 |    1012116
  IPC                                |       1.18 |       1.17 |       1.29 |       1.06
  Time (ns)                          |     380495 |     380495 |     380495 |     380495
  Idle time (ns)                     |      99236 |      99697 |      78844 |     120166
  Idle time (%)                      |      26.1% |      26.2% |      20.7% |      31.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     264501 |     263056 |     293271 |     234916
  num incorrect                      |        160 |        138 |        138 |        178
  misprediction rate                 |      0.06% |      0.05% |      0.05% |      0.08%
  mpki                               |       0.13 |       0.12 |       0.11 |       0.17
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31045 |      31039 |      31024 |      31053
    num cache misses                 |         11 |         15 |         11 |         15
    miss rate                        |      0.04% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     627352 |     624423 |     684837 |     568230
    num cache misses                 |       4498 |       4059 |       4141 |       3434
    miss rate                        |      0.72% |      0.65% |      0.60% |      0.60%
    mpki                             |       3.78 |       3.43 |       3.17 |       3.21
  Cache L2                           |            |            |            |           
    num cache accesses               |       5749 |       5280 |       4855 |       4285
    num cache misses                 |         16 |         13 |         10 |         10
    miss rate                        |      0.28% |      0.25% |      0.21% |      0.23%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         18 |         15 |         12 |         12
    num cache misses                 |         16 |         13 |         10 |         10
    miss rate                        |     88.89% |     86.67% |     83.33% |     83.33%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     102.59 |        inf |        inf |        inf
  average dram queueing delay        |      49.16 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
