                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     386133 |     481085 |     410310 |     482657 |     465149 |     496812 |     525113 |     442444
  Cycles                             |     655526 |     655526 |     655526 |     655526 |     655526 |     655526 |     655526 |     655526
  IPC                                |       0.59 |       0.73 |       0.63 |       0.74 |       0.71 |       0.76 |       0.80 |       0.67
  Time (ns)                          |     246439 |     246439 |     246439 |     246439 |     246439 |     246439 |     246439 |     246439
  Idle time (ns)                     |     110454 |      85169 |     117552 |     104041 |      89391 |      82934 |      83381 |     108831
  Idle time (%)                      |      44.8% |      34.6% |      47.7% |      42.2% |      36.3% |      33.7% |      33.8% |      44.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      83944 |     107653 |      89970 |     108051 |     103688 |     111618 |     118680 |      98019
  num incorrect                      |        104 |        102 |        104 |        106 |        104 |         91 |        101 |        100
  misprediction rate                 |      0.12% |      0.09% |      0.12% |      0.10% |      0.10% |      0.08% |      0.09% |      0.10%
  mpki                               |       0.27 |       0.21 |       0.25 |       0.22 |       0.22 |       0.18 |       0.19 |       0.23
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13030 |      13059 |      13064 |      13042 |      13042 |      13033 |      13050 |      13032
    num cache misses                 |         10 |         16 |         15 |         16 |         15 |         14 |         16 |         15
    miss rate                        |      0.08% |      0.12% |      0.11% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     203117 |     250564 |     215198 |     251353 |     242622 |     258457 |     272604 |     231272
    num cache misses                 |       5094 |       5541 |       4558 |       4948 |       5642 |       6002 |       5911 |       4321
    miss rate                        |      2.51% |      2.21% |      2.12% |      1.97% |      2.33% |      2.32% |      2.17% |      1.87%
    mpki                             |      13.19 |      11.52 |      11.11 |      10.25 |      12.13 |      12.08 |      11.26 |       9.77
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6626 |       6660 |       5613 |       6038 |       6739 |       7133 |       6958 |       5459
    num cache misses                 |       1640 |       1829 |       1256 |       1169 |       1832 |       1820 |       1639 |       1434
    miss rate                        |     24.75% |     27.46% |     22.38% |     19.36% |     27.19% |     25.52% |     23.56% |     26.27%
    mpki                             |       4.25 |       3.80 |       3.06 |       2.42 |       3.94 |       3.66 |       3.12 |       3.24
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2738 |       2737 |       1951 |       1839 |       2481 |       2431 |       2081 |       2273
    num cache misses                 |          6 |         10 |          5 |          9 |         14 |          5 |         10 |          8
    miss rate                        |      0.22% |      0.37% |      0.26% |      0.49% |      0.56% |      0.21% |      0.48% |      0.35%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.02 |       0.03 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         60 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          5 |          4 |          2 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
