                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   18961155 |   19947949 |   16715951 |   20048560
  Cycles                             |   13045942 |   13045942 |   13045942 |   13045942
  IPC                                |       1.45 |       1.53 |       1.28 |       1.54
  Time (ns)                          |    4904490 |    4904490 |    4904490 |    4904490
  Idle time (ns)                     |     283547 |      97495 |     705361 |      78337
  Idle time (%)                      |       5.8% |       2.0% |      14.4% |       1.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    4505002 |    4751683 |    3943699 |    4776845
  num incorrect                      |        293 |        311 |        293 |        297
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210020 |     210016 |     210019 |     210021
    num cache misses                 |         15 |         15 |         15 |         14
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9738633 |   10232028 |    8616028 |   10282336
    num cache misses                 |       5965 |       6074 |       5080 |       5487
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.31 |       0.30 |       0.30 |       0.27
  Cache L2                           |            |            |            |           
    num cache accesses               |       7866 |       7409 |       6346 |       6458
    num cache misses                 |          8 |          6 |          7 |         22
    miss rate                        |      0.10% |      0.08% |      0.11% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          9 |          8 |          9 |         23
    num cache misses                 |          8 |          6 |          7 |         22
    miss rate                        |     88.89% |     75.00% |     77.78% |     95.65%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         41 |          0 |          0 |          0
  average dram access latency (ns)   |     141.20 |        inf |        inf |        inf
  average dram queueing delay        |      87.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
