                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6828243 |    7184958 |    6871031 |    6929633 |    6805707 |    5296564 |    7039258 |    6787720 |    6230376 |    7034340 |    7049384 |    4206037 |    6330864 |    6793221 |    6034323 |    7000623
  Cycles                             |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709 |    5168709
  IPC                                |       1.32 |       1.39 |       1.33 |       1.34 |       1.32 |       1.02 |       1.36 |       1.31 |       1.21 |       1.36 |       1.36 |       0.81 |       1.22 |       1.31 |       1.17 |       1.35
  Time (ns)                          |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124 |    1943124
  Idle time (ns)                     |     170672 |      86279 |     166265 |     173221 |     181537 |     571639 |      98907 |     173311 |     340507 |     126201 |     131693 |     837438 |     325503 |     206458 |     383629 |     104036
  Idle time (%)                      |       8.8% |       4.4% |       8.6% |       8.9% |       9.3% |      29.4% |       5.1% |       8.9% |      17.5% |       6.5% |       6.8% |      43.1% |      16.8% |      10.6% |      19.7% |       5.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1674420 |    1763623 |    1685106 |    1699751 |    1668792 |    1291523 |    1727168 |    1664289 |    1524965 |    1725934 |    1729728 |    1018843 |    1550067 |    1665681 |    1475945 |    1717507
  num incorrect                      |        151 |        129 |        162 |        166 |        146 |        130 |        158 |        150 |        138 |        157 |        130 |        169 |        161 |        133 |        145 |        157
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.04 |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30020 |      30016 |      30019 |      30013 |      30015 |      30015 |      30015 |      30019 |      30019 |      30019 |      30015 |      30027 |      30015 |      30015 |      30015 |      30019
    num cache misses                 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
