                                     | Core 0     | Core 1    
  Instructions                       |     523422 |     542103
  Cycles                             |     617165 |     617165
  IPC                                |       0.85 |       0.88
  Time (ns)                          |     232017 |     232017
  Idle time (ns)                     |      80701 |      77604
  Idle time (%)                      |      34.8% |      33.4%
Branch predictor stats               |            |           
  num correct                        |      98266 |     102948
  num incorrect                      |        107 |         95
  misprediction rate                 |      0.11% |      0.09%
  mpki                               |       0.20 |       0.18
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30011 |      30016
    num cache misses                 |         11 |         12
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     294766 |     304107
    num cache misses                 |       1577 |       1534
    miss rate                        |      0.54% |      0.50%
    mpki                             |       3.01 |       2.83
  Cache L2                           |            |           
    num cache accesses               |       2337 |       2340
    num cache misses                 |          9 |         17
    miss rate                        |      0.39% |      0.73%
    mpki                             |       0.02 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         11 |         19
    num cache misses                 |          9 |         17
    miss rate                        |     81.82% |     89.47%
    mpki                             |       0.02 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |     115.90 |        inf
  average dram queueing delay        |      62.47 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
