                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3000654 |    3327689 |    3093358 |    2695016 |    2760637 |    3440168 |    3525706 |    3109491
  Cycles                             |    2353688 |    2353688 |    2353688 |    2353688 |    2353688 |    2353688 |    2353688 |    2353688
  IPC                                |       1.27 |       1.41 |       1.31 |       1.15 |       1.17 |       1.46 |       1.50 |       1.32
  Time (ns)                          |     884845 |     884845 |     884845 |     884845 |     884845 |     884845 |     884845 |     884845
  Idle time (ns)                     |     157583 |     101347 |     173701 |     265046 |     217941 |      86620 |      85038 |     182691
  Idle time (%)                      |      17.8% |      11.5% |      19.6% |      30.0% |      24.6% |       9.8% |       9.6% |      20.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     717555 |     799280 |     740711 |     641131 |     657496 |     827365 |     848753 |     744725
  num incorrect                      |        125 |        148 |        140 |        130 |        168 |        176 |        180 |        152
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30010 |      30022 |      30016 |      30022 |      30020 |      30028 |      30018 |      30026
    num cache misses                 |         10 |         15 |         15 |         16 |         15 |         16 |         14 |         16
    miss rate                        |      0.03% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1533382 |    1696896 |    1579733 |    1380563 |    1413375 |    1753136 |    1795909 |    1587799
    num cache misses                 |       7568 |       7724 |       7060 |       5846 |       5593 |       7319 |       6963 |       5604
    miss rate                        |      0.49% |      0.46% |      0.45% |      0.42% |      0.40% |      0.42% |      0.39% |      0.35%
    mpki                             |       2.52 |       2.32 |       2.28 |       2.17 |       2.03 |       2.13 |       1.97 |       1.80
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9167 |       8892 |       8059 |       6827 |       7012 |       8416 |       8146 |       6799
    num cache misses                 |       2527 |       2052 |       1411 |       1004 |       1682 |       1886 |       1452 |       1034
    miss rate                        |     27.57% |     23.08% |     17.51% |     14.71% |     23.99% |     22.41% |     17.82% |     15.21%
    mpki                             |       0.84 |       0.62 |       0.46 |       0.37 |       0.61 |       0.55 |       0.41 |       0.33
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3415 |       2876 |       1911 |       1390 |       2887 |       2731 |       2201 |       1778
    num cache misses                 |          6 |          5 |          8 |         15 |          5 |          8 |         10 |          8
    miss rate                        |      0.18% |      0.17% |      0.42% |      1.08% |      0.17% |      0.29% |      0.45% |      0.45%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         60 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          3 |          5 |          3 |          5 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
